招聘公司,招聘职位,薪资,学历要求,职位详细页面url,职位详细内容
成都林恩企业管理咨询有限公司,AI Engineer ( Python/ Machine Learning),20K-30K,本科,https://jobs.zhaopin.com/CC685738927J00253338705.htm,
深圳市德科信息技术有限公司广州分公司,python （可接受19届）,8K-10K,本科,https://jobs.zhaopin.com/CC278294985J00295907603.htm,
深圳市德科信息技术有限公司广州分公司,python开发,8K-13K,本科,https://jobs.zhaopin.com/CC278294985J00253670303.htm,
广州时时美电子商务有限公司,python 开发工程师,10K-15K,学历不限,https://jobs.zhaopin.com/CC526064630J00138803108.htm,
信必优(深圳)信息技术有限公司,VBA/PowerShell/C#/Python,10K-15K,本科,https://jobs.zhaopin.com/CC641354530J00315100506.htm,
广州永融科技股份有限公司,Python工程师（中级）,8K-15K,本科,https://jobs.zhaopin.com/584662021250126.htm,
深圳市德科信息技术有限公司广州分公司,python后端开发工程师,8K-12K,本科,https://jobs.zhaopin.com/CC278294985J00258518603.htm,
云润大数据服务有限公司,Python中级工程师,10K-15K,本科,https://jobs.zhaopin.com/CC642310621J00260895507.htm,
深圳市德科信息技术有限公司广州分公司,python,8K-15K,本科,https://jobs.zhaopin.com/CC278294985J00250726103.htm,
深圳市德科信息技术有限公司广州分公司,python开发,8K-13K,本科,https://jobs.zhaopin.com/CC278294985J00359009303.htm,
广州对庄企业管理中心(有限合伙),Python数据工程师,10K-15K,大专,https://jobs.zhaopin.com/CZ894546540J00037648107.htm,
广东省电信规划设计院有限公司,python开发工程师,8K-13K,本科,https://jobs.zhaopin.com/CC216712315J00190088708.htm,
深圳市德科信息技术有限公司广州分公司,程序开发（python/c/c++),8K-15K,本科,https://jobs.zhaopin.com/CC278294985J00244991003.htm,
深圳市德科信息技术有限公司广州分公司,软件测试（统招本科+大平台+Python自动化测试）,10K-15K,本科,https://jobs.zhaopin.com/CC278294985J00399016903.htm,
深圳市芒柠科技有限公司,python开发工程师（广州）,10K-20K,大专,https://jobs.zhaopin.com/466965980250071.htm,
广州美亚电子商务国际旅行社有限公司,python开发工程师,6K-12K,大专,https://jobs.zhaopin.com/CC133740473J00300375108.htm,
艾利安人才服务（上海）有限公司,python开发,15K-20K,本科,https://jobs.zhaopin.com/CC161683510J00326522008.htm,
深圳市芒柠科技有限公司,python开发工程师（广州-海珠区）,8K-12K,大专,https://jobs.zhaopin.com/466965980250136.htm,
蓝盾信息安全技术股份有限公司,python研发工程师,10K-15K,本科,https://jobs.zhaopin.com/136106367252381.htm,
云润大数据服务有限公司,Python开发工程师(大数据方向),6K-12K,本科,https://jobs.zhaopin.com/CC642310621J00391398407.htm,
广州学码教育科技有限公司,少儿编程老师（Scratch/Python/C++）,8K-10K,本科,https://jobs.zhaopin.com/CC504444336J00336890702.htm,
广州百伦供应链科技有限公司,python大数据开发工程师,10K-15K,本科,https://jobs.zhaopin.com/CC451192724J00463446401.htm,
深圳市协卓软件有限公司,python开发工程师,8K-10K,大专,https://jobs.zhaopin.com/CC270717615J00333714002.htm,
广州市驴迹科技有限责任公司,Python工程师,15K-25K,本科,https://jobs.zhaopin.com/CC623371828J00382204507.htm,
深圳市德科信息技术有限公司广州分公司,软件测试（统招本科+福利好+Python自动化测试）,10K-15K,本科,https://jobs.zhaopin.com/CC278294985J00399017503.htm,
深圳市香蕉电子商务有限公司,Python开发工程师,6K-12K,本科,https://jobs.zhaopin.com/CC287813584J00419998507.htm,
广州微控能源科技有限公司,Python开发工程师,4K-8K,本科,https://jobs.zhaopin.com/CC882050460J00418067207.htm,
广州市凯泽利科技有限公司,python开发工程师,8K-12K,本科,https://jobs.zhaopin.com/CZ823999070J00286171204.htm,
深圳市长亮科技股份有限公司,银行SAS/R/PYTHON数据分析挖掘建模岗,10K-20K,本科,https://jobs.zhaopin.com/CC120564550J00080758108.htm,
广州英荔教育科技有限公司,Python软件工程师,9K-15K,本科,https://jobs.zhaopin.com/566604020250047.htm,
广州卓动信息科技有限公司,Python后端工程师,12K-24K,本科,https://jobs.zhaopin.com/CC649588426J00336730703.htm,
北京智合大方科技有限公司,研发工程师（python）,12K-16K,本科,https://jobs.zhaopin.com/CC399388880J00172022512.htm,
广州优脉电子商务有限公司,Python爬虫工程师,5K-9K,大专,https://jobs.zhaopin.com/CC271581731J00326607106.htm,
佛山市承林家具有限公司,python算法工程师,20K-25K,本科,https://jobs.zhaopin.com/CZ509903180J00378614607.htm,
广州明扬信息技术有限公司,后端研发工程师-Python,6K-12K,本科,https://jobs.zhaopin.com/CC881951480J00411321705.htm,
上海艺赛旗软件股份有限公司,RPA软件售前工程师（Python）,7K-10K,大专,https://jobs.zhaopin.com/CC533586027J00278703203.htm,
广州掌昆网络科技有限公司,python开发工程师,6K-8K,本科,https://jobs.zhaopin.com/CZ609497180J00305295706.htm,
深圳图灵创新科技有限公司,少儿编程老师(Scratch/Python/C++),6K-8K,本科,https://jobs.zhaopin.com/CC541431988J00462904801.htm,
广州汇智通信技术有限公司,python工程师,15K-20K,本科,https://jobs.zhaopin.com/CC137645185J00373827207.htm,
广州锦行网络科技有限公司,python开发工程师（高级）,12K-18K,大专,https://jobs.zhaopin.com/CC392810034J00196859204.htm,
广州润城实业集团有限公司,高级python开发工程师,15K-18K,本科,https://jobs.zhaopin.com/CC679980624J00391602307.htm,
